id,first_name,last_name,email,department,position,city,state
807,Marys,Anthiftle,manthiftle@assistancetech.org,Engineering,Employee,Los Angeles,CA
313,Allina,Keady,akeady@assistancetech.org,Product Management,Employee,Houston,TX
317,Vittoria,Stockill,vstockill@assistancetech.org,Research and Development,Employee,Gainesville,FL
89,Stephani,Baumer,sbaumer@assistancetech.org,Marketing,Supervisor,San Diego,CA
713,Chan,Simmon,csimmon@assistancetech.org,Research and Development,Employee,Beaumont,TX
932,Moselle,Argont,margont@assistancetech.org,Services,Employee,Oceanside,CA
697,Vikky,Pyper,vpyper@assistancetech.org,Support,Employee,Great Neck,NY
414,Rianon,Sowray,rsowray@assistancetech.org,Accounting,Employee,Houston,TX
45,Sada,Papez,spapez@assistancetech.org,Services,Supervisor,Waco,TX
747,Khalil,Agdahl,kagdahl@assistancetech.org,Marketing,Employee,Humble,TX
553,Eal,Vasenkov,evasenkov@assistancetech.org,Engineering,Employee,Simi Valley,CA
347,Newton,Arnopp,narnopp@assistancetech.org,Marketing,Employee,Los Angeles,CA
957,Mora,Mottram,mmottram@assistancetech.org,Business Development,Employee,El Paso,TX
863,Masha,Bonnick,mbonnick@assistancetech.org,Marketing,Employee,Bakersfield,CA
120,Lila,Daal,ldaal@assistancetech.org,Research and Development,Employee,Bronx,NY
632,Edward,Garnar,support@assistancetech.org,Support,Employee,Denton,TX
239,Maddy,Tolliday,mtolliday@assistancetech.org,Services,Employee,Jacksonville,FL
107,Randie,Toner,rtoner@assistancetech.org,Sales,Employee,Buffalo,NY
384,Catina,Stutter,cstutter@assistancetech.org,Sales,Employee,Rochester,NY
493,Thatch,Midden,tmidden@assistancetech.org,Training,Employee,Naples,FL
449,Aleta,Isakov,aisakov@assistancetech.org,Human Resources,Employee,Irving,TX
41,Aldrich,Scorah,ascorah@assistancetech.org,Marketing,Supervisor,Sacramento,CA
783,Liza,Juden,ljuden@assistancetech.org,Engineering,Employee,Dallas,TX
548,Bernardina,Gusticke,bgusticke@assistancetech.org,Engineering,Employee,Spring,TX
